,trajectory,DG,next step rate,step name
0,..........+..........,0.0,6.248805e+06,off_nucleation-4
1,......(...+.........),-0.4860420673588002,2.000000e+07,zipping-52
2,......((..+........)),-2.564378356251272,2.000000e+07,zipping-55
3,......(((.+.......))),-4.153964040597557,2.000000e+07,zipping-58
4,......((((+......)))),-5.420931636921916,2.156674e+09,sliding-62
5,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
6,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
7,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
8,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
9,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
10,(((((((((.+.))))))))),-13.465263411869525,1.366897e+06,zipping-105
11,((((((((..+..)))))))),-11.875677727523241,2.000000e+07,zipping-103
12,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
13,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
14,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
15,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
16,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
17,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
18,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
19,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
20,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
21,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
22,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
23,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
24,(((((((((.+.))))))))),-13.465263411869525,5.990214e+05,zipping-107
25,.((((((((.+.)))))))).,-11.386927122977053,2.000000e+07,zipping-137
26,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
27,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
28,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
29,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
30,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
31,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
32,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
33,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
34,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
35,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
36,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
37,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
38,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
39,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
40,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
41,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
42,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
43,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
44,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
45,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
46,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
47,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
48,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
49,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
50,.(((((((((+))))))))).,,,
