,trajectory,DG,next step rate,step name
0,..........+..........,0.0,6.248805e+06,off_nucleation-6
1,........(.+.......)..,-0.2196709566059385,2.000000e+07,zipping-75
2,........((+......))..,-1.4866385529302981,2.000000e+07,zipping-78
3,.......(((+......))).,-3.3425953480294437,2.000000e+07,zipping-72
4,......((((+......)))),-5.420931636921916,2.156674e+09,sliding-62
5,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
6,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
7,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
8,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
9,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
10,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
11,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
12,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
13,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
14,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
15,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
16,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
17,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
18,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
19,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
20,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
21,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
22,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
23,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
24,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
25,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
26,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
27,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
28,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
29,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
30,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
31,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
32,(((((((((.+.))))))))),-13.465263411869525,5.990214e+05,zipping-107
33,.((((((((.+.)))))))).,-11.386927122977053,2.000000e+07,zipping-136
34,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
35,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
36,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
37,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
38,.(((((((((+))))))))).,-12.653894719301412,8.718954e+05,zipping-141
39,..((((((((+))))))))..,-10.797937924202266,2.000000e+07,zipping-170
40,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
41,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
42,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
43,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
44,(((((((((.+.))))))))),-13.465263411869525,1.366897e+06,zipping-105
45,((((((((..+..)))))))),-11.875677727523241,2.000000e+07,zipping-103
46,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
47,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
48,(((((((((.+.))))))))),-13.465263411869525,1.366897e+06,zipping-105
49,((((((((..+..)))))))),-11.875677727523241,2.000000e+07,zipping-103
50,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
51,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
52,(((((((((.+.))))))))),-13.465263411869525,1.366897e+06,zipping-105
53,((((((((..+..)))))))),-11.875677727523241,2.000000e+07,zipping-103
54,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
55,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
56,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
57,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
58,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
59,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
60,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
61,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
62,.(((((((((+))))))))).,-12.653894719301412,2.356356e+06,zipping-139
63,.((((((((.+.)))))))).,-11.386927122977053,2.000000e+07,zipping-136
64,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
65,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
66,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
67,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
68,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
69,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
70,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
71,((((((((((+)))))))))),,,
