,trajectory,DG,next step rate,step name
0,....+....,0.0,1.696104e+07,on_nucleation-0
1,(...+...),-0.2196709566059385,2.000000e+07,zipping-6
2,((..+..)),-1.4866385529302981,2.356356e+06,zipping-10
3,.(..+..).,-0.2196709566059385,2.000000e+07,zipping-14
4,((..+..)),-1.4866385529302981,2.000000e+07,zipping-9
5,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
6,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
7,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
8,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
9,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
10,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
11,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
12,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
13,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
14,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
15,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
16,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
17,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-11
18,((..+..)),-1.4866385529302981,2.000000e+07,zipping-9
19,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
20,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
21,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
22,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
23,.(((+))).,-2.7536061492546575,2.356356e+06,zipping-21
24,.((.+.)).,-1.4866385529302981,2.000000e+07,zipping-18
25,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-11
26,((..+..)),-1.4866385529302981,2.356356e+06,zipping-8
27,(...+...),-0.2196709566059385,1.170620e+07,on_nucleation-7
28,....+....,0.0,1.696104e+07,on_nucleation-0
29,(...+...),-0.2196709566059385,1.170620e+07,on_nucleation-7
30,....+....,0.0,1.696104e+07,on_nucleation-3
31,...(+)...,-0.2196709566059385,2.000000e+07,zipping-30
32,..((+))..,-1.4866385529302981,2.000000e+07,zipping-28
33,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
34,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
35,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
36,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
37,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
38,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
39,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
40,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
41,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
42,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
43,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
44,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
45,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
46,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
47,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
48,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
49,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
50,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
51,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
52,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
53,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
54,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
55,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
56,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
57,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
58,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
59,.(((+))).,-2.7536061492546575,2.356356e+06,zipping-21
60,.((.+.)).,-1.4866385529302981,2.000000e+07,zipping-18
61,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
62,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
63,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
64,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
65,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
66,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
67,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
68,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
69,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
70,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
71,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
72,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
73,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
74,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
75,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
76,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
77,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
78,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
79,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
80,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
81,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
82,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
83,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
84,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
85,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
86,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
87,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
88,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
89,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
90,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
91,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
92,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
93,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
94,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
95,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
96,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
97,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
98,((((+)))),,,
