,trajectory,DG,next step rate,step name
0,..........+..........,0.0,2.499522e+06,on_nucleation-14
1,....(.....+.....)....,-0.4860420673588002,2.000000e+07,zipping-234
2,...((.....+.....))...,-2.564378356251272,2.000000e+07,zipping-213
3,...(((....+....)))...,-4.153964040597557,2.000000e+07,zipping-217
4,...((((...+...))))...,-5.996438649657689,2.000000e+07,zipping-221
5,...(((((..+..)))))...,-7.586024334003973,2.000000e+07,zipping-225
6,...((((((.+.))))))...,-9.428498943064106,2.000000e+07,zipping-228
7,..(((((((.+.)))))))..,-11.004602441371375,2.000000e+07,zipping-202
8,.((((((((.+.)))))))).,-12.271570037695735,2.000000e+07,zipping-173
9,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
10,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
11,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
12,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
13,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
14,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
15,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
16,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
17,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
18,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
19,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
20,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
21,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
22,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
23,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
24,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
25,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
26,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
27,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
28,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
29,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
30,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
31,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
32,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
33,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
34,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
35,(((((((((.+.))))))))),-13.538537634020095,2.356356e+06,zipping-143
36,.((((((((.+.)))))))).,-12.271570037695735,2.000000e+07,zipping-172
37,(((((((((.+.))))))))),-13.538537634020095,2.356356e+06,zipping-143
38,.((((((((.+.)))))))).,-12.271570037695735,2.356356e+06,zipping-174
39,..(((((((.+.)))))))..,-11.004602441371375,2.000000e+07,zipping-203
40,..((((((((+))))))))..,-12.59418812571766,2.000000e+07,zipping-206
41,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
42,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
43,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
44,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
45,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
46,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
47,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
48,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
49,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
50,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
51,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
52,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
53,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
54,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
55,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
56,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
57,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
58,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
59,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
60,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
61,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
62,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
63,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
64,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
65,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
66,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
67,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
68,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
69,(((((((((.+.))))))))),,,
